key_bits,rounds,size_mb,bytes,repetition,plaintext_sha256,encryption_s,decryption_s,encryption_mb_s,decryption_mb_s,roundtrip_ok,ciphertext_sha256,recovered_sha256
128,10,10,10000000,2,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,26.404054900005576,28.255219500002568,0.3787297079130785,0.3539169108206394,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
256,14,10,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,35.125662700003886,37.946210599999176,0.28469213763755963,0.2635309255359537,True,69e1ba7c6d63e5c5a08bd7260cefb3fc20f9ad3bd14461818a9a829a010729c3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
128,10,10,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,26.265110000000277,27.2598891000016,0.3807332236567787,0.3668393500544143,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
192,12,10,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,29.8546537000002,32.45189210000535,0.33495615459106576,0.30814844229062227,True,75c5eb14ee8dd4849013cf0b40cbe40f6225e31cfe871269682d0670bdd97a58,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
128,10,100,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,248.38795830000163,264.1887048999997,0.4025960062009952,0.3785173179067282,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,299.8378115000014,315.8121192000035,0.33351364025680774,0.31664395987498534,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,348.35143860000244,386.89473400000134,0.2870664189069874,0.2584682375128933,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,297.0308700000023,316.14837969999644,0.3366653439085278,0.31630717226794985,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,369.39487360000203,374.4218592000034,0.2707130151142397,0.26707842382296226,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
128,10,100,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,246.41846899999655,268.8170814000041,0.40581373793050146,0.3720001700754961,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,345.2519256000087,381.8867733000079,0.28964356918853196,0.2618577206428687,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
128,10,100,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,292.69030999999086,295.86637849999534,0.34165804805770006,0.33799041481829467,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,333.9203081000014,378.3973030000052,0.2994726513310844,0.2642724966779127,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
