key_bits,rounds,size_mb,repetitions,encryption_mean_s,encryption_sd_s,encryption_mb_s,decryption_mean_s,decryption_sd_s,decryption_mb_s
128,10,1.0,3,0.1355199966666684,0.0063764194787039735,7.378984833209883,0.15059582466669022,0.008623204910778141,6.640290341470447
128,10,10.0,3,1.3693434126666564,0.03406148344291063,7.302770004586375,1.4461921869999894,0.024019602736451942,6.914710292235919
128,10,100.0,3,14.654531076333305,1.222501596645759,6.823828035104955,16.136062024666597,0.18500623489916973,6.19729893496528
192,12,1.0,3,0.16397765166667946,0.008450413144968732,6.098392005471083,0.1718045783333082,0.0026741057491418236,5.820566656029139
192,12,10.0,3,1.617034118666652,0.015586028653179432,6.184161412899339,1.7149047900000294,0.016012205767227335,5.83122751671819
192,12,100.0,3,16.667328100666662,0.19819805370408203,5.999761893209517,18.593998679333293,0.3052760713291718,5.378079332185131
256,14,1.0,3,0.1819679929999817,0.0038752562440202898,5.495471942695442,0.1981767290000107,0.007080274084111245,5.04600113770142
256,14,10.0,3,1.8217582366666345,0.03698007512288486,5.489202572948164,1.9488834793332899,0.016839287653854042,5.131143090925572
256,14,100.0,3,19.532296044333407,0.9202856290676669,5.119725800439698,21.857678151333328,0.9806430017005043,4.5750513530139045
