key_bits,rounds,size_mb,bytes,repetition,plaintext_sha256,encryption_s,decryption_s,encryption_mb_s,decryption_mb_s,roundtrip_ok,ciphertext_sha256,recovered_sha256
128,10,10.0,10000000,2,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.346477187000005,1.4315592030000062,7.426787543486218,6.985390460306347,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
256,14,10.0,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.8014234909999232,1.9669357399999399,5.551165536566452,5.084050178477262,True,69e1ba7c6d63e5c5a08bd7260cefb3fc20f9ad3bd14461818a9a829a010729c3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
128,10,10.0,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.353063055000007,1.4331040680000342,7.390638568577241,6.977860312653695,True,b0ea8d708f8346a2403595baecb8bceab144aaebd7279152c5203c4737fc8ddd,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
192,12,10.0,10000000,3,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9,1.6080009439999685,1.6967409979999957,6.218901821739351,5.893651424576484,True,75c5eb14ee8dd4849013cf0b40cbe40f6225e31cfe871269682d0670bdd97a58,a2f7a73c07c712c4b48f401ae1d63d5cc673ced35bda7f8a6f8e8df824c62dd9
128,10,100.0,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,13.841162610999959,16.342755660999956,7.224826613952733,6.118919114640998,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100.0,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,16.895972382999958,18.94599188399991,5.918570280134688,5.278161239182788,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100.0,100000000,1,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,19.11804981099999,20.817054419999977,5.230659036282184,4.803753594645217,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100.0,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,16.561597386000017,18.401598795999917,6.038064908191332,5.43431041555681,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100.0,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,20.586901127000147,21.991354033000107,4.857457632069157,4.547241604584262,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
128,10,100.0,100000000,2,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,16.06038194100006,15.98596467199991,6.226501982789902,6.255487363559249,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
256,14,100.0,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,18.891937195000082,22.764626000999897,5.293263415382615,4.392780272147132,True,1f426df796bd31f160216b2ad242ab392a86761348c3a8db443b89eacd27dcf9,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
128,10,100.0,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,14.062048676999893,16.07946574099992,7.111339343004946,6.21911210302323,True,b2d8cc08825d052562d43080b9b1fb55b313999fa74dac7afe10d4fffb6ad389,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
192,12,100.0,100000000,3,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c,16.54441453300001,18.43440535800005,6.0443359781959565,5.42463931208948,True,8c0509d74e74cf290b5b043eee080315dd2f37ee4db83c3ecfd821952f9d1bff,ca3cebfa4cd4a433c4dcfe003243446953be7b614c1c7b1cef7573c555492b5c
