bits,workers,repetition,space_size,candidate,key_hex,ciphertext_hex,tested,seconds,keys_per_second,worker_tested
16,1,1,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65536,38.39590566800052,1706.8486563820857,[65536]
16,2,1,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65088,21.345666236999932,3049.237221145079,"[32320, 32768]"
16,4,1,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65472,12.092176027000278,5414.4100990433335,"[16320, 16384, 16384, 16384]"
16,1,2,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65536,39.019379501,1679.575657996315,[65536]
16,2,2,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65472,22.930027958999744,2855.29525376366,"[32704, 32768]"
16,4,2,65536,65535,133457799BBFFEFE,2D7541213B8062E4,64960,12.707151971999338,5112.081774353661,"[16000, 16192, 16384, 16384]"
16,1,3,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65536,38.110035315999994,1719.6520406394266,[65536]
16,2,3,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65536,22.806492562999665,2873.567683367629,"[32768, 32768]"
16,4,3,65536,65535,133457799BBFFEFE,2D7541213B8062E4,65216,12.25758924099955,5320.458918778546,"[16384, 16256, 16192, 16384]"
